159,81,0,55
185,80,0,66
59,112,0,215
14,88,0,331
97,132,1,348
145,63,1,350
12,38,1,426
12,38,1,439
158,138,0,440
183,138,1,469
118,42,1,469
30,107,0,504
218,44,1,638
179,64,1,647
12,130,1,702
12,130,1,720
185,80,0,777
48,2,1,814
169,87,1,872
96,85,1,979
32,21,1,986
30,107,0,1024
59,92,0,1038
14,88,0,1142
34,22,0,1215
129,44,1,1228
43,127,0,1271
141,65,1,1376
58,5,1,1440
50,122,1,1514
39,3,1,1530
59,112,1,1560
34,22,0,1581
114,34,1,1592
32,21,1,1706
218,142,1,1741
189,142,1,1770
92,132,1,1771
195,146,1,1816
91,43,1,1893
118,64,1,1904
23,104,0,1913
210,143,1,1945
123,82,1,1972
34,22,0,1988
75,9,1,2022
194,123,1,2040
178,66,1,2045
31,142,0,2108
14,88,0,2132
200,11,0,2178
45,114,1,2182
20,136,1,2224
196,144,1,2258
30,107,1,2289
169,87,0,2302
218,44,1,2360
61,13,1,2424
32,21,1,2441
34,22,0,2479
164,133,1,2510
179,64,1,2524
137,41,1,2532
233,121,1,2541
159,81,1,2594
160,64,0,2595
148,99,1,2742
59,112,1,2743
185,80,1,2957
121,42,1,2968
47,16,0,2984
163,63,1,3002
207,137,1,3046
108,132,1,3053
166,135,1,3081
25,65,0,3117
34,22,0,3246
178,79,1,3321
4,8,0,3347
32,21,1,3425
78,56,1,3442
219,126,0,3461
73,8,1,3473
142,65,1,3475
140,65,1,3509
167,65,1,3510
94,9,1,3510
178,66,0,3551
158,138,1,3562
136,41,1,3599
108,38,1,3669
55,6,1,3672
28,93,0,3857
21,25,0,3869
12,130,0,4158
21,25,0,4161
201,131,1,4208
194,131,1,4215
88,43,1,4216
173,85,0,4233
85,7,1,4248
185,80,1,4256
159,81,1,4269
146,86,1,4303
169,66,1,4309
231,106,1,4324
98,42,1,4335
178,66,0,4348
129,48,0,4407
21,25,0,4428
65,151,1,4475
204,77,1,4527
93,132,1,4614
200,11,1,4628
136,38,1,4635
66,39,0,4644
118,113,0,4646
201,143,1,4677
179,64,0,4688
162,36,1,4705
178,79,0,4730
106,78,1,4738
28,93,0,4764
21,25,0,4765
123,42,1,4925
166,133,1,4931
29,66,1,5068
27,66,1,5071
222,95,0,5071
128,39,1,5085
144,39,1,5113
21,25,0,5114
203,145,1,5157
146,86,1,5163
157,67,0,5192
159,104,1,5215
86,130,1,5216
34,28,0,5237
170,92,1,5278
86,43,1,5328
204,138,1,5385
163,65,0,5515
65,19,0,5565
121,73,0,5571
21,25,1,5587
21,25,1,5590
26,66,1,5594
210,41,1,5642
90,43,1,5675
162,127,1,5693
14,143,0,5709
54,138,0,5741
96,85,0,5759
202,75,1,5764
73,99,1,5789
179,64,0,5876
146,20,0,5887
54,11,1,5887
21,25,1,5899
21,25,1,5927
146,86,1,5972
145,20,0,6108
9,89,1,6116
158,92,1,6165
133,70,1,6191
118,35,1,6206
136,3,1,6229
134,41,1,6250
21,25,1,6258
21,25,1,6259
133,62,1,6277
155,62,1,6288
86,23,1,6288
215,43,0,6290
187,142,0,6300
137,78,0,6339
185,46,0,6383
10,107,1,6395
164,36,1,6397
129,36,1,6438
78,44,1,6470
101,8,0,6478
171,92,1,6498
137,78,0,6503
125,56,0,6524
53,37,1,6551
178,66,1,6587
21,25,1,6608
21,25,1,6611
28,93,1,6630
104,43,0,6632
137,78,0,6666
14,88,1,6692
14,88,1,6694
59,92,1,6717
142,111,1,6765
137,52,0,6790
164,64,1,6806
165,64,1,6841
171,69,0,6842
166,69,1,6953
34,28,1,6963
101,11,1,6992
174,94,1,7007
181,139,1,7034
173,129,1,7044
21,25,1,7067
21,25,1,7070
35,52,0,7071
73,99,1,7171
203,75,1,7183
146,50,1,7203
125,128,1,7229
168,91,1,7263
28,66,1,7301
80,22,0,7302
147,118,0,7312
83,7,1,7314
137,78,1,7335
196,39,0,7374
28,93,1,7400
64,45,1,7418
66,36,1,7421
209,135,1,7422
59,112,1,7506
176,51,0,7522
112,43,1,7537
131,72,1,7627
32,21,1,7668
146,19,1,7687
172,70,0,7694
5,22,1,7697
5,22,1,7706
161,91,1,7707
214,141,1,7725
151,63,1,7745
7,24,1,7774
7,24,1,7774
121,73,0,7775
222,95,0,7788
125,78,1,7792
29,65,0,7809
44,88,1,7822
14,88,1,7827
14,88,1,7827
120,82,1,7828
137,78,1,7839
164,65,0,7860
145,64,1,7861
123,51,1,7872
96,11,1,7934
131,41,1,7945
170,15,0,7962
32,21,1,7980
175,95,1,7994
83,44,1,8003
134,70,1,8081
153,94,1,8085
196,39,0,8090
129,41,1,8167
72,18,1,8230
199,114,0,8232
151,113,1,8236
32,21,1,8272
138,41,1,8301
129,75,1,8326
101,8,1,8326
